,Quantity to buy (g),Used for N targets,Price of specified quantity ($)
CC1CN(C(=O)CCl)CC(C)O1,5,114,206
Cc1ccc(N)cc1O,5,134,29
C=CCC(=O)O,1,27,26
CC(C)(C)OC(=O)Nc1ccc(F)cc1N,1,40,126
O=C(O)CI,1,29,24
CCC(O)C(=O)O,1,30,24
O=C(CCl)N1CCOCC1,10,217,46
N#CC1(C(=O)O)CCCC1,0.5,20,107
CNc1cccc(O)c1,1,29,130
CSC(C)C(=O)O,2.5,75,272
Nc1cc(O)ccc1F,10,331,50
C=CCN(CC=C)C(=O)CCl,0.25,10,116
CC(=O)O,2.5,100,27
Nc1cccc(O)c1N,5,108,93
O=C(O)CSCC(=O)O,0.25,5,19
CC(Cl)C(=O)N1CCOCC1,5,137,495
CCC(=O)O,2.5,70,27
N#CCC(=O)O,2.5,61,27
CC(C)(C)OC(=O)Nc1ccccc1N,10,255,225
O=C(O)CO,10,368,32
N#CC1(C(=O)O)CCC1,1,27,117
O=C(CCl)N1CCCCC1,1,38,24
O=C1CCC(C(=O)O)O1,2.5,55,80
Cc1cc(N)cc(O)c1,5,192,330
C=C(C)C(=O)O,0.5,14,21
CN(C(=O)CCl)C1CCCCC1,0.5,14,80
Cc1ccc(O)cc1N,5,145,101
CC1CCCCN1C(=O)CCl,1,36,284
CC(Cl)C(=O)N1CCCC1,1,38,98
CC(Cl)C(=O)N(C)C,1,40,94
CSCC(=O)O,10,248,49
CCCN(CCC)C(=O)CCl,1,30,25
O=C(CCl)N1CCC1,1,39,100
COc1ccc(C)c(N)c1,0.5,14,21
CCC1CCCCN1C(=O)CCl,0.5,16,85
CC(=O)OCC(=O)O,0.5,15,19
CCN(CC)C(=O)C(C)Cl,1,35,204
CCSCC(=O)O,2.5,74,22
Nc1cccc(O)c1,5,120,29
CCN(C)C(=O)CCl,1,39,19
N=C(N)SCC(=O)O,1,26,25
C=CCSCC(=O)O,0.5,16,44
CC(Cl)C(=O)N1CCNC1=O,1,34,284
Nc1cc(O)c(F)cc1F,5,134,88
CC(C)(C)OC(=O)N1CCc2ccc(N)cc21,0.5,20,80
O=C(O)CCCl,0.25,7,19
O=C(O)C(=O)O,1,32,26
COC(C)C(=O)O,1,34,26
O=C(O)CCl,0.5,16,19
COC(=O)C(=O)O,0.5,20,25
O=C(CCl)N1CCCC1,1,39,40
O=C(O)COCCCl,0.5,13,61
CC(C)N(C)C(=O)CCl,1,40,57
N#CC1(C(=O)O)CCOCC1,0.5,19,19
C=CC(=O)O,2.5,67,27
O=C(O)C1CCCO1,2.5,80,27
CC(C)(C)OC(=O)Nc1cccc(N)c1,1,26,29
N#CC1(C(=O)O)CCCCC1,0.5,20,77
Cc1c(N)cccc1O,1,39,19
CCCC(=O)O,1,24,26
O=C(O)C(O)CCl,0.25,10,83
O=C(O)C(O)O,1,39,26
CC(C#N)C(=O)O,1,40,204
C=C(F)C(=O)O,0.5,14,19
O=C(O)CCBr,0.25,7,19
CC(C)(O)C(=O)O,0.5,18,21
N#CC(=Cc1ccc(O)cc1)C(=O)O,0.25,5,19
COC(=O)c1cc(N)cc(O)c1,0.25,10,44
O=C(O)CBr,0.5,20,21
CC(C)(C)OC(=O)Nc1cccc(F)c1N,1,40,280
CCCOCC(=O)O,0.5,15,21
C#CC(=O)O,2.5,60,27
N#CC(=Cc1ccccc1)C(=O)O,0.25,9,24
O=C(C(Cl)c1ccccc1)N1CCOCC1,2.5,100,726
N#CC1(C(=O)O)CC1,1,22,24
CC(=O)C(Cl)C(=O)N(C)C,1,40,39
CCN(CC)C(=O)CCl,1,39,26
COc1cc(N)ccc1C,1,25,29
CCC(C#N)C(=O)O,1,35,266
O=CNCC(=O)O,0.25,8,19
O=C(CCl)N1CCNC1=O,1,34,130
CCSC(C)C(=O)O,1,25,120
CS(=O)(=O)CC(=O)O,1,26,27
CCCN(CC1CC1)C(=O)CCl,0.25,10,77
CC(C)SCC(=O)O,0.5,18,39
CCCCN(C)C(=O)CCl,1,39,228
COc1cc(N)ccc1O,0.25,8,19
CC(C)(C#N)C(=O)O,1,37,101
CC1(C(=O)O)CCCO1,2.5,51,170
Cc1ccc(NC(=O)OC(C)(C)C)cc1N,0.5,20,43
O=C(O)C1(O)CC1,0.25,10,26
CCC(C)(O)C(=O)O,0.5,14,19
O=C1CN(C(=O)CCl)CCN1,1,34,284
COc1ccc(F)c(N)c1,1,24,41
CC(C)OCC(=O)O,0.5,15,43
C#CCC(=O)O,1,28,92
CC1CCN(C(=O)CCl)CC1,1,34,90
Nc1cc(O)cc(O)c1,1,33,78
Cc1ccc(N)cc1NC(=O)OC(C)(C)C,1,29,38
CCNc1cccc(O)c1,0.25,7,41
COc1ccc(O)c(N)c1,0.25,6,19
CCC(C#N)(CC)C(=O)O,0.5,20,154
CN(C)C(=O)CCl,1,39,27
CCN(CCC#N)C(=O)CCl,1,31,256
CN(Cc1cccs1)C(=O)CCl,0.5,15,108
CC(=O)C(=O)O,0.5,20,21
CCOCC(=O)O,1,24,26
O=C(O)C1CC1,0.25,9,19
CN(C(=O)CCl)C(C)(C)C#N,0.25,10,92
CCC(OC)C(=O)O,0.25,10,87
CCCSCC(=O)O,1,27,60
O=C(O)C1(F)CC1,0.1,4,19
CCOC(C)C(=O)O,0.25,10,83
COCCC(=O)O,0.1,3,19
COc1ccc(N)cc1O,0.5,11,19
CC(C)(C)OC(=O)Nc1cc(N)ccc1F,0.5,20,144
CC(F)(F)C(=O)O,0.25,8,19
CC#CC(=O)O,0.5,17,21
CC(C)C(=O)O,0.5,14,19
O=C(O)C(F)F,0.5,14,19
CSCCC(O)C(=O)O,0.25,6,19
COC(=O)c1ccc(N)cc1O,0.25,7,19
CCCCC(O)C(=O)O,0.25,5,29
CC(Cl)C(=O)O,0.1,4,19
O=C(O)C(O)C(=O)O,0.25,10,19
COC(C)(C)C(=O)O,0.1,3,24
Oc1ccc2c(c1)NCCC2,0.1,4,19
COc1ccc(C=C(C#N)C(=O)O)cc1,0.25,5,19
CCNc1cc(O)ccc1C,0.1,3,19
Nc1ccnc(O)c1[N+](=O)[O-],0.05,2,19
,184.65,5508,10000
